Bandit,Reward,Algorithm
3.0,3.880271672628585,EpsilonGreedy
3.0,3.836697607181508,EpsilonGreedy
3.0,3.2739768987307443,EpsilonGreedy
3.0,3.3240840430833596,EpsilonGreedy
3.0,2.7192753058660637,EpsilonGreedy
3.0,2.921848609591259,EpsilonGreedy
3.0,3.5503328902541043,EpsilonGreedy
3.0,2.195396717266945,EpsilonGreedy
3.0,3.389482926973405,EpsilonGreedy
3.0,3.4427860668327477,EpsilonGreedy
3.0,4.95134511192731,EpsilonGreedy
3.0,4.1675995440666505,EpsilonGreedy
3.0,6.168995820888686,EpsilonGreedy
3.0,3.1563381633968146,EpsilonGreedy
3.0,4.512664804716431,EpsilonGreedy
3.0,4.011095158788683,EpsilonGreedy
3.0,4.28633763932083,EpsilonGreedy
3.0,3.435623018481298,EpsilonGreedy
3.0,4.037458498969594,EpsilonGreedy
3.0,5.244341525853357,EpsilonGreedy
3.0,4.207150068420268,EpsilonGreedy
3.0,3.4747644906485,EpsilonGreedy
3.0,4.462673992887424,EpsilonGreedy
3.0,3.995523924884736,EpsilonGreedy
3.0,3.808236408072279,EpsilonGreedy
3.0,4.190836268819556,EpsilonGreedy
3.0,5.330299027505497,EpsilonGreedy
3.0,4.85579321951562,EpsilonGreedy
3.0,5.057098099304782,EpsilonGreedy
2.0,3.611558534165135,EpsilonGreedy
3.0,5.284295005349189,EpsilonGreedy
3.0,3.945543525439027,EpsilonGreedy
3.0,4.056695116523286,EpsilonGreedy
3.0,4.286622592498749,EpsilonGreedy
3.0,4.077461233861438,EpsilonGreedy
3.0,4.5227653889774375,EpsilonGreedy
3.0,5.295722160443408,EpsilonGreedy
3.0,4.575012698516065,EpsilonGreedy
3.0,3.547046138301855,EpsilonGreedy
3.0,3.048648153984373,EpsilonGreedy
3.0,3.885041806068915,EpsilonGreedy
3.0,2.8185629951954487,EpsilonGreedy
3.0,3.3065441224898677,EpsilonGreedy
3.0,3.752071011458816,EpsilonGreedy
3.0,4.924778782107081,EpsilonGreedy
3.0,2.508319386581368,EpsilonGreedy
3.0,4.240291609786072,EpsilonGreedy
3.0,2.9232986221490482,EpsilonGreedy
3.0,3.57344080585817,EpsilonGreedy
3.0,2.969077014972732,EpsilonGreedy
3.0,5.762607106281088,EpsilonGreedy
3.0,4.07588064606254,EpsilonGreedy
3.0,5.420783638902866,EpsilonGreedy
3.0,4.515262079175111,EpsilonGreedy
3.0,2.84204591727869,EpsilonGreedy
3.0,4.033282404875346,EpsilonGreedy
3.0,4.806219117808929,EpsilonGreedy
3.0,3.1142151715793824,EpsilonGreedy
3.0,5.714339916064102,EpsilonGreedy
3.0,3.1573235567020053,EpsilonGreedy
3.0,3.289487293215845,EpsilonGreedy
3.0,3.9442643246200793,EpsilonGreedy
3.0,4.7223328045919235,EpsilonGreedy
3.0,5.207372907314738,EpsilonGreedy
3.0,4.689345619155223,EpsilonGreedy
3.0,5.188876384030229,EpsilonGreedy
3.0,3.590254539135647,EpsilonGreedy
3.0,4.378156504803458,EpsilonGreedy
3.0,4.390385509426846,EpsilonGreedy
3.0,2.9155058623850625,EpsilonGreedy
3.0,4.876969118315891,EpsilonGreedy
